2026-03-28 09:37:12,935 INFO ============================================================
2026-03-28 09:37:12,935 INFO [1/1] Processing: 22-915
2026-03-28 09:37:17,321 INFO Found case 22-915 in term 2023 on Oyez
2026-03-28 09:37:17,812 INFO Found 72 brief doc(s) for 22-915 on SCOTUS
2026-03-28 09:37:17,812 INFO [22-915] Both sources confirmed — downloading 72 brief(s) + transcript
2026-03-28 09:37:19,626 INFO [22-915] Brief 1/72 saved → data\22-915\json\20230420_amicus_California_Governor_Gavin_Newsom_bfdd55.json
2026-03-28 09:37:21,859 INFO [22-915] Brief 2/72 saved → data\22-915\json\20230420_amicus_Texas_Advocacy_Project_a25ed6.json
2026-03-28 09:37:23,743 INFO [22-915] Brief 3/72 saved → data\22-915\json\20230420_amici_Gun_Violence_Domestic_Violence_Prevention_027f1d.json
2026-03-28 09:37:25,717 INFO [22-915] Brief 4/72 saved → data\22-915\json\20230420_amicus_New_York_County_Lawyers_Association_c5bea3.json
2026-03-28 09:38:18,857 INFO [22-915] Brief 5/72 saved → data\22-915\json\20230420_amici_Illinois_9f467f.json
2026-03-28 09:38:21,684 INFO [22-915] Brief 6/72 saved → data\22-915\json\20230420_amici_Joshua_Horwitz_6eefbe.json
2026-03-28 09:38:24,413 INFO [22-915] Brief 7/72 saved → data\22-915\json\20230420_amici_Tarrant_County_Criminal_District_Attorney_b7867c.json
2026-03-28 09:38:26,817 INFO [22-915] Brief 8/72 saved → data\22-915\json\20230530_respondent_Zackey_Rahimi_opposition_335515.json
2026-03-28 09:38:28,984 INFO [22-915] Brief 9/72 saved → data\22-915\json\20230606_reply_US_1d828d.json
2026-03-28 09:38:31,909 INFO [22-915] Brief 10/72 saved → data\22-915\json\20230814_petitioner_US_62b81b.json
2026-03-28 09:38:33,917 INFO [22-915] Brief 11/72 saved → data\22-915\json\20230817_amicus_Patrick_Charles_support_neither_580bff.json
2026-03-28 09:38:36,080 INFO [22-915] Brief 12/72 saved → data\22-915\json\20230818_amicus_97Percent_684941.json
2026-03-28 09:38:38,082 INFO [22-915] Brief 13/72 saved → data\22-915\json\20230818_amicus_California_Legislative_Women's_Caucus_df3d02.json
2026-03-28 09:38:40,298 INFO [22-915] Brief 14/72 saved → data\22-915\json\20230821_amici_City_New_York_a0f9a1.json
2026-03-28 09:38:42,441 INFO [22-915] Brief 15/72 saved → data\22-915\json\20230821_amici_National_Indigenous_Women's_Resource_Center_29a480.json
2026-03-28 09:38:44,777 INFO [22-915] Brief 16/72 saved → data\22-915\json\20230821_amici_Second_Amendment_Law_Scholars_270421.json
2026-03-28 09:38:46,991 INFO [22-915] Brief 17/72 saved → data\22-915\json\20230821_amici_Educators_Practitioners_fd1ad7.json
2026-03-28 09:38:51,665 INFO [22-915] Brief 18/72 saved → data\22-915\json\20230821_amici_Tarrant_County_Criminal_District_Attorney_dd0c9d.json
2026-03-28 09:38:54,281 INFO [22-915] Brief 19/72 saved → data\22-915\json\20230821_amicus_New_York_County_Lawyers_Association_5ebcdb.json
2026-03-28 09:38:56,487 INFO [22-915] Brief 20/72 saved → data\22-915\json\20230821_amici_Professors_History_Law_5e10ea.json
2026-03-28 09:38:58,877 INFO [22-915] Brief 21/72 saved → data\22-915\json\20230821_amici_Legal_Aid_Chicago_9b5dae.json
2026-03-28 09:39:00,947 INFO [22-915] Brief 22/72 saved → data\22-915\json\20230821_amici_Religious_Leaders_Organizations_e9d811.json
2026-03-28 09:39:03,134 INFO [22-915] Brief 23/72 saved → data\22-915\json\20230821_amici_DC_Coalition_Against_Domestic_Violence_05b514.json
2026-03-28 09:39:05,315 INFO [22-915] Brief 24/72 saved → data\22-915\json\20230821_amici_Illinois_4f6a9d.json
2026-03-28 09:39:07,414 INFO [22-915] Brief 25/72 saved → data\22-915\json\20230821_amici_National_League_Cities_bccc58.json
2026-03-28 09:39:09,902 INFO [22-915] Brief 26/72 saved → data\22-915\json\20230821_amicus_Center_Reproductive_Rights_e85649.json
2026-03-28 09:39:12,318 INFO [22-915] Brief 27/72 saved → data\22-915\json\20230821_amici_Senator_Richard_Blumenthal_151766.json
2026-03-28 09:39:14,207 INFO [22-915] Brief 28/72 saved → data\22-915\json\20230821_amici_Senator_Amy_Klobuchar_b485ae.json
2026-03-28 09:39:16,515 INFO [22-915] Brief 29/72 saved → data\22-915\json\20230821_amici_Gun_Violence_Domestic_Violence_Prevention_bed673.json
2026-03-28 09:39:19,277 INFO [22-915] Brief 30/72 saved → data\22-915\json\20230821_amici_Public-Health_Researchers_Lawyers_78d9b8.json
2026-03-28 09:39:21,256 INFO [22-915] Brief 31/72 saved → data\22-915\json\20230821_amicus_ACLU_Foundation_58bca0.json
2026-03-28 09:39:23,729 INFO [22-915] Brief 32/72 saved → data\22-915\json\20230821_amici_Former_State_Chief_Justices_Chief_bd4676.json
2026-03-28 09:39:25,716 INFO [22-915] Brief 33/72 saved → data\22-915\json\20230821_amici_Global_Action_Gun_Violence_e20d86.json
2026-03-28 09:39:28,294 INFO [22-915] Brief 34/72 saved → data\22-915\json\20230821_amicus_Prosecutors_Against_Gun_Violence_83c1f8.json
2026-03-28 09:39:30,516 INFO [22-915] Brief 35/72 saved → data\22-915\json\20230821_amicus_California_Governor_Gavin_Newsom_d871ef.json
2026-03-28 09:39:33,295 INFO [22-915] Brief 36/72 saved → data\22-915\json\20230821_amicus_March_Our_Lives_Action_Fund_7e6f71.json
2026-03-28 09:39:35,057 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,069 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,078 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,089 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,099 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,110 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,116 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,132 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,147 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,161 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,177 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,193 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,206 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,221 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,237 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,253 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,270 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,286 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:35,294 INFO [22-915] Brief 37/72 saved → data\22-915\json\20230821_amicus_AEquitas_1157f4.json
2026-03-28 09:39:37,741 INFO [22-915] Brief 38/72 saved → data\22-915\json\20230821_amicus_Giffords_Law_Center_Prevent_5487b6.json
2026-03-28 09:39:40,317 INFO [22-915] Brief 39/72 saved → data\22-915\json\20230821_amici_Texas_Advocacy_Project_52c3cf.json
2026-03-28 09:39:41,880 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,891 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,908 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,923 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,939 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,953 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,965 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,982 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:41,990 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,006 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,025 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,046 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,063 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,082 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,099 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,116 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,136 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,168 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,194 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,213 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,233 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,253 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,269 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,291 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,316 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,333 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:42,346 INFO [22-915] Brief 40/72 saved → data\22-915\json\20230821_amicus_Citizens_Crime_Commission_New_York_683cad.json
2026-03-28 09:39:44,525 INFO [22-915] Brief 41/72 saved → data\22-915\json\20230821_amicus_US_Conference_Catholic_Bishops_b47a72.json
2026-03-28 09:39:46,323 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,328 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,334 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,340 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,345 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,351 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,358 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,367 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,374 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,381 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,388 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,396 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:46,403 WARNING CropBox missing from /Page, defaulting to MediaBox
